DATA_TIME,vehicleState,runModel,chargeState,speed,gear,distance,SOC,totalVoltage,totalCurrent,lon,lat,maxTemperature,minTemperature,maxBatteryVoltage,minBatteryVoltage
2020-03-26 14:14:55,2.0,1.0,3.0,0.0,0.0,2.0,99.0,540.4,0.0,113.063101,27.830255,-39.0,-39.0,0.256,0.256
2020-03-26 14:15:05,2.0,1.0,3.0,0.0,0.0,2.0,99.0,540.4,0.0,113.063106,27.830255,-39.0,-39.0,0.256,0.256
2020-03-26 14:15:15,2.0,1.0,3.0,0.0,0.0,2.0,99.0,540.5,0.0,113.063088,27.830266,-39.0,-39.0,0.256,0.256
2020-03-26 14:15:25,2.0,1.0,3.0,0.0,0.0,2.0,99.0,540.4,0.0,113.063093,27.830293,-39.0,-39.0,0.256,0.256
2020-03-26 14:15:35,2.0,1.0,3.0,0.0,0.0,2.0,99.0,540.4,0.0,113.063091,27.830311,-39.0,-39.0,0.256,0.256
2020-03-26 14:15:45,2.0,1.0,3.0,0.0,0.0,2.0,99.0,540.5,0.0,113.063118,27.830303,-39.0,-39.0,0.256,0.256
2020-03-26 14:15:55,2.0,1.0,3.0,0.0,0.0,2.0,99.0,540.5,0.0,113.063183,27.830293,-39.0,-39.0,0.256,0.256
2020-03-26 14:16:05,2.0,1.0,3.0,0.0,0.0,2.0,99.0,540.4,0.0,113.0632,27.830286,-39.0,-39.0,0.256,0.256
2020-03-26 14:16:15,2.0,1.0,3.0,0.0,0.0,2.0,99.0,540.4,0.0,113.063191,27.830278,-39.0,-39.0,0.256,0.256
2020-03-26 14:16:25,2.0,1.0,3.0,0.0,0.0,2.0,99.0,540.4,0.0,113.063193,27.830271,-39.0,-39.0,0.256,0.256
2020-03-26 14:16:35,2.0,1.0,3.0,0.0,0.0,2.0,99.0,540.4,0.0,113.063191,27.830265,-39.0,-39.0,0.256,0.256
2020-03-26 14:16:45,2.0,1.0,3.0,0.0,0.0,2.0,99.0,540.5,0.0,113.063193,27.830261,-39.0,-39.0,0.256,0.256
2020-03-26 14:16:55,2.0,1.0,3.0,0.0,0.0,2.0,99.0,540.4,0.0,113.063175,27.83026,-39.0,-39.0,0.256,0.256
2020-03-26 14:17:05,2.0,1.0,3.0,0.0,0.0,2.0,99.0,540.4,0.0,113.063153,27.830258,-39.0,-39.0,0.256,0.256
2020-03-26 14:17:15,2.0,1.0,3.0,0.0,0.0,2.0,99.0,540.4,0.0,113.063145,27.830258,-39.0,-39.0,0.256,0.256
2020-03-26 14:17:25,2.0,1.0,3.0,0.0,0.0,2.0,99.0,540.4,0.0,113.063136,27.83026,-39.0,-39.0,0.256,0.256
2020-03-26 14:17:35,2.0,1.0,3.0,0.0,0.0,2.0,99.0,540.5,0.0,113.063136,27.830256,-39.0,-39.0,0.256,0.256
2020-03-26 14:17:45,2.0,1.0,3.0,0.0,0.0,2.0,99.0,540.4,0.0,113.063136,27.83025,-39.0,-39.0,0.256,0.256
2020-03-26 14:17:55,2.0,1.0,3.0,0.0,0.0,2.0,99.0,540.5,0.0,113.06315,27.830236,-39.0,-39.0,0.256,0.256
2020-03-26 14:18:05,2.0,1.0,3.0,0.0,0.0,2.0,99.0,540.4,0.0,113.063158,27.830225,-39.0,-39.0,0.256,0.256
2020-03-26 14:18:15,2.0,1.0,3.0,0.0,0.0,2.0,99.0,540.4,0.0,113.063155,27.83022,-39.0,-39.0,0.256,0.256
2020-03-26 14:18:25,2.0,1.0,3.0,0.0,0.0,2.0,99.0,540.4,0.0,113.063153,27.830218,-39.0,-39.0,0.256,0.256
2020-03-26 14:18:35,2.0,1.0,3.0,0.0,0.0,2.0,99.0,540.4,0.0,113.063163,27.830206,-39.0,-39.0,0.256,0.256
2020-03-26 14:18:45,2.0,1.0,3.0,0.0,0.0,2.0,99.0,540.4,0.0,113.063173,27.830201,-39.0,-39.0,0.256,0.256
2020-03-26 14:18:55,2.0,1.0,3.0,0.0,0.0,2.0,99.0,540.4,0.0,113.06319,27.830203,-39.0,-39.0,0.256,0.256
2020-03-26 14:19:05,2.0,1.0,3.0,0.0,0.0,2.0,99.0,540.4,0.0,113.063196,27.8302,-39.0,-39.0,0.256,0.256
2020-03-26 14:19:15,2.0,1.0,3.0,0.0,0.0,2.0,99.0,540.4,0.0,113.063213,27.830198,-39.0,-39.0,0.256,0.256
2020-03-26 14:19:25,2.0,1.0,3.0,0.0,0.0,2.0,99.0,540.4,0.0,113.063196,27.830188,-39.0,-39.0,0.256,0.256
2020-03-26 14:19:35,2.0,1.0,3.0,0.0,0.0,2.0,99.0,540.5,0.0,113.063171,27.830196,-39.0,-39.0,0.256,0.256
2020-03-26 14:19:45,2.0,1.0,3.0,0.0,0.0,2.0,99.0,540.4,0.0,113.063165,27.830198,-39.0,-39.0,0.256,0.256
2020-03-26 14:19:55,2.0,1.0,3.0,0.0,0.0,2.0,99.0,540.4,0.0,113.063165,27.83019,-39.0,-39.0,0.256,0.256
2020-03-26 14:20:05,2.0,1.0,3.0,0.0,0.0,2.0,99.0,540.5,0.0,113.063156,27.830185,-39.0,-39.0,0.256,0.256
2020-03-26 14:20:15,2.0,1.0,3.0,0.0,0.0,2.0,99.0,540.4,0.0,113.063145,27.830161,-39.0,-39.0,0.256,0.256
2020-03-26 14:20:25,2.0,1.0,3.0,0.0,0.0,2.0,99.0,540.5,0.0,113.06314,27.830166,-39.0,-39.0,0.256,0.256
2020-03-26 14:20:35,2.0,1.0,3.0,0.0,16.0,2.0,99.0,540.5,0.0,113.063156,27.830168,-39.0,-39.0,0.256,0.256
2020-03-26 14:20:45,1.0,1.0,3.0,0.0,14.0,2.0,99.0,540.4,0.0,113.063176,27.830163,-39.0,-39.0,0.256,0.256
2020-03-26 14:20:55,1.0,1.0,3.0,9.5,30.0,2.0,99.0,540.3,2.4,113.063203,27.830146,-39.0,-39.0,0.256,0.256
2020-03-26 14:21:05,1.0,1.0,3.0,0.0,14.0,2.0,99.0,540.1,2.0,113.063183,27.830161,-39.0,-39.0,0.256,0.256
2020-03-26 14:21:15,1.0,1.0,3.0,0.0,14.0,2.0,99.0,540.2,2.0,113.06317,27.830176,-39.0,-39.0,0.256,0.256
2020-03-26 14:21:25,1.0,1.0,3.0,0.0,14.0,2.0,99.0,540.2,2.0,113.063133,27.830201,-39.0,-39.0,0.256,0.256
2020-03-26 14:21:35,1.0,1.0,3.0,0.0,14.0,2.0,99.0,540.1,2.0,113.063058,27.830251,-39.0,-39.0,0.256,0.256
2020-03-26 14:21:45,1.0,1.0,3.0,0.0,14.0,2.0,99.0,540.2,1.9,113.063006,27.830303,-39.0,-39.0,0.256,0.256
2020-03-26 14:21:55,1.0,1.0,3.0,0.0,14.0,2.0,99.0,540.1,2.0,113.062986,27.83033,-39.0,-39.0,0.256,0.256
2020-03-26 14:22:05,1.0,1.0,3.0,0.0,14.0,2.0,99.0,540.1,1.8,113.062973,27.830331,-39.0,-39.0,0.256,0.256
2020-03-26 14:22:15,1.0,1.0,3.0,0.0,14.0,2.0,99.0,540.2,1.8,113.062978,27.830326,-39.0,-39.0,0.256,0.256
2020-03-26 14:22:25,1.0,1.0,3.0,0.0,14.0,2.0,99.0,540.1,1.8,113.062998,27.830318,-39.0,-39.0,0.256,0.256
2020-03-26 14:22:35,1.0,1.0,3.0,0.0,14.0,2.0,99.0,540.2,1.8,113.063011,27.83031,-39.0,-39.0,0.256,0.256
2020-03-26 14:22:45,1.0,1.0,3.0,0.0,14.0,2.0,99.0,540.1,1.8,113.063016,27.830308,-39.0,-39.0,0.256,0.256
2020-03-26 14:22:55,1.0,1.0,3.0,0.0,14.0,2.0,99.0,540.1,1.8,113.063028,27.830306,-39.0,-39.0,0.256,0.256
2020-03-26 14:23:05,1.0,1.0,3.0,0.0,14.0,2.0,99.0,540.1,1.8,113.063036,27.83031,-39.0,-39.0,0.256,0.256
2020-03-26 14:23:15,1.0,1.0,3.0,0.0,14.0,2.0,99.0,540.1,1.7,113.063041,27.830313,-39.0,-39.0,0.256,0.256
2020-03-26 14:23:25,1.0,1.0,3.0,0.0,14.0,2.0,99.0,540.0,1.7,113.063046,27.830313,-39.0,-39.0,0.256,0.256
2020-03-26 14:23:35,1.0,1.0,3.0,0.0,14.0,2.0,99.0,540.1,1.8,113.063051,27.830318,-39.0,-39.0,0.256,0.256
2020-03-26 14:23:45,1.0,1.0,3.0,0.0,14.0,2.0,99.0,540.1,1.7,113.063048,27.830326,-39.0,-39.0,0.256,0.256
2020-03-26 14:23:55,1.0,1.0,3.0,0.0,14.0,2.0,99.0,540.0,1.6,113.063046,27.830333,-39.0,-39.0,0.256,0.256
2020-03-26 14:24:05,1.0,1.0,3.0,0.0,14.0,2.0,99.0,540.1,1.8,113.063035,27.830343,-39.0,-39.0,0.256,0.256
2020-03-26 14:24:15,1.0,1.0,3.0,0.0,14.0,2.0,99.0,540.1,1.7,113.063006,27.830366,-39.0,-39.0,0.256,0.256
